,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
49,2011,BB18 6,BB18 6,Total,9469,4643,4826,9407,62,105,1739.85,5.4,-2.1582,53.9149,9298.0
50,2011,BD10 0,BD10 0,Total,8834,4283,4551,8729,105,102,576.27,15.3,-1.71786,53.8308,8721.0
51,2011,BD10 8,BD10 8,Total,10627,5204,5423,10567,60,105,260.58,40.8,-1.734,53.8309,10252.0
52,2011,BD10 9,BD10 9,Total,6421,3118,3303,6339,82,40,127.66,50.3,-1.72649,53.8312,6721.0
53,2011,BD11 1,BD11 1,Total,5528,2735,2793,5482,46,45,458.96,12.0,-1.66368,53.7521,5500.0
54,2011,BD11 2,BD11 2,Total,5827,2783,3044,5760,67,51,558.35,10.4,-1.69234,53.748,5471.0
55,2011,BD12 0,BD12 0,Total,5308,2592,2716,5284,24,43,272.59,19.5,-1.76303,53.7562,5185.0
56,2011,BD12 7,BD12 7,Total,1901,921,980,1899,2,21,191.65,9.9,-1.74234,53.75,1958.0
57,2011,BD12 8,BD12 8,Total,4908,2407,2501,4906,2,26,308.61,15.9,-1.77066,53.7426,4802.0
58,2011,BD12 9,BD12 9,Total,4568,2209,2359,4553,15,28,291.4,15.7,-1.76364,53.7407,4876.0
59,2011,BD13 1,BD13 1,Total,3967,1934,2033,3946,21,31,483.55,8.2,-1.83982,53.7725,3944.0
60,2011,BD13 2,BD13 2,Total,7657,3736,3921,7613,44,63,419.49,18.3,-1.84673,53.7671,7630.0
61,2011,BD13 3,BD13 3,Total,6934,3388,3546,6860,74,63,1000.14,6.9,-1.84786,53.7926,6930.0
62,2011,BD13 4,BD13 4,Total,3489,1717,1772,3489,0,32,1025.49,3.4,-1.89057,53.8003,3452.0
63,2011,BD13 5,BD13 5,Total,2932,1382,1550,2932,0,56,906.03,3.2,-1.89244,53.8235,2861.0
64,2011,BD14 6,BD14 6,Total,8871,3966,4905,8291,580,102,401.56,22.1,-1.81771,53.7832,8860.0
65,2011,BD15 0,BD15 0,Total,4248,1987,2261,4187,61,76,466.63,9.1,-1.85943,53.8201,4410.0
66,2011,BD15 7,BD15 7,Total,8060,3902,4158,8029,31,39,236.53,34.1,-1.82308,53.8011,8044.0
